,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
147,Single,181.98000000000002,Agent,10,63.8,57.01,[838 619 751 614 804],70.18,0.5,48.0,Green Door,5
148,Single,191.95,Agent,10,56.0,65.08,[ 879 1027  925  982 1035],53.95,0.2,82.0,Key Door,5
149,Single,150.13,Agent,10,56.4,41.08,[ 879 1027  925  982 1035],63.33,0.5,30.4,Key Door,5
150,Single,195.36,Agent,10,58.6,66.12,[1174 1229 1272 1212 1102],55.96,0.2,80.8,Other Door,5
151,Single,207.55,Agent,10,71.2,65.55,[1174 1229 1272 1212 1102],81.55,0.5,54.8,Other Door,5
152,Single,178.18,Agent,10,56.8,60.29,[238 202 245 299 273],55.78,0.2,65.6,Key,5
153,Single,144.07,Agent,10,55.2,27.74,[238 202 245 299 273],71.67,0.5,17.2,Key,5
154,Single,210.78,Agent,10,59.6,70.29,[1022  156  192  573 1007],55.58,0.2,95.6,Orb,5
155,Single,202.61999999999998,Agent,10,69.8,62.15,[1022  156  192  573 1007],83.22,0.5,49.6,Orb,5
156,Double,238.09,Agent,10,80.0,78.72,[551 475 489 373 446],84.09,0.2,74.0,Level Door,5
157,Double,181.60000000000002,Agent,10,62.8,43.64,[551 475 489 373 446],90.0,0.5,28.8,Level Door,5
158,Double,187.82999999999998,Agent,10,65.0,60.32,[672 849 687 726 670],69.63,0.2,53.2,Green Door,5
159,Double,153.23,Agent,10,56.4,28.29,[672 849 687 726 670],79.63,0.5,17.2,Green Door,5
160,Double,137.47,Agent,10,54.2,27.76,[1074  948  953 1051 1099],65.67,0.2,17.6,Key Door,5
161,Double,106.83000000000001,Agent,10,50.2,7.43,[1074  948  953 1051 1099],52.63,0.5,4.0,Key Door,5
162,Double,211.54999999999998,Agent,10,71.6,62.03,[1294 1337 1113 1141 1305],93.55,0.2,46.4,Other Door,5
163,Double,182.4,Agent,10,62.2,40.75,[1294 1337 1113 1141 1305],94.2,0.5,26.0,Other Door,5
