,Recall,Concept,Precision,F1Score,NumExp,Pattern Complexity,CPR,Encoding,Examples,TH,Accuracy,PC
161,19.6,Key Door,47.57,27.76,5,,116.16999999999999,Random,[ 933  851 1014  965  977],0.5,49.0,10.0
162,48.8,Other Door,50.62,49.69,5,,150.01999999999998,Random,[1265 1172 1338 1323 1246],0.2,50.6,10.0
163,17.6,Other Door,53.66,26.51,5,,122.46000000000001,Random,[1265 1172 1338 1323 1246],0.5,51.2,10.0
164,63.6,Key,52.3,57.4,5,,168.7,Random,[ 838  227  255  297 1085],0.2,52.8,10.0
165,17.6,Key,53.66,26.51,5,,122.46000000000001,Random,[ 838  227  255  297 1085],0.5,51.2,10.0
166,68.8,Orb,49.0,57.24,5,,166.39999999999998,Random,[ 790  767 1008  567 1008],0.2,48.6,10.0
167,14.0,Orb,53.85,22.22,5,,118.85,Random,[ 790  767 1008  567 1008],0.5,51.0,10.0
168,27.71,No Door,65.99,39.03,5,,150.41,Agent,[ 12 171 268 278 302],0.2,56.71,10.0
169,10.29,No Door,70.59,17.96,5,,133.88,Agent,[ 12 171 268 278 302],0.5,53.0,10.0
170,66.8,Level Door,74.22,70.31,5,,212.82,Agent,[510 432 583 480 436],0.2,71.8,10.0
171,39.6,Level Door,89.19,54.85,5,,196.19,Agent,[510 432 583 480 436],0.5,67.4,10.0
172,61.2,Green Door,71.16,65.81,5,,200.56,Agent,[774 820 726 681 825],0.2,68.2,10.0
173,34.8,Green Door,75.0,47.54,5,,171.39999999999998,Agent,[774 820 726 681 825],0.5,61.6,10.0
174,14.8,Key Door,88.1,25.34,5,,159.3,Agent,[ 955  998  975  872 1023],0.2,56.4,10.0
175,2.0,Key Door,100.0,3.92,5,,153.0,Agent,[ 955  998  975  872 1023],0.5,51.0,10.0
176,50.0,Other Door,88.65,63.94,5,,210.45,Agent,[1199 1202 1255 1217 1264],0.2,71.8,10.0
177,32.0,Other Door,94.12,47.76,5,,191.12,Agent,[1199 1202 1255 1217 1264],0.5,65.0,10.0
178,44.4,Key,50.23,47.14,5,,144.83,Agent,[ 293  844  822  247 1070],0.2,50.2,10.0
179,20.4,Key,57.95,30.18,5,,131.15,Agent,[ 293  844  822  247 1070],0.5,52.8,10.0
180,34.0,Orb,70.25,45.82,5,,164.05,Agent,[ 185 1004 1320  751  172],0.2,59.8,10.0
181,13.6,Orb,72.34,22.9,5,,140.14000000000001,Agent,[ 185 1004 1320  751  172],0.5,54.2,10.0
182,63.43,No Door,62.54,62.98,5,,188.68,Autoencoder,[252 179 115 287  83],0.2,62.71,10.0
183,43.14,No Door,68.64,52.98,5,,173.49,Autoencoder,[252 179 115 287  83],0.5,61.71,10.0
184,57.6,Level Door,54.55,56.03,5,,166.95,Autoencoder,[598 352 425 379 518],0.2,54.8,10.0
185,32.8,Level Door,54.3,40.9,5,,139.7,Autoencoder,[598 352 425 379 518],0.5,52.6,10.0
186,77.2,Green Door,53.02,62.87,5,,184.62,Autoencoder,[724 776 826 789 837],0.2,54.4,10.0
187,19.2,Green Door,63.16,29.45,5,,136.35999999999999,Autoencoder,[724 776 826 789 837],0.5,54.0,10.0
188,77.2,Key Door,54.52,63.91,5,,188.12,Autoencoder,[982 964 999 941 910],0.2,56.4,10.0
189,49.2,Key Door,66.85,56.68,5,,178.45,Autoencoder,[982 964 999 941 910],0.5,62.4,10.0
190,47.2,Other Door,52.91,49.89,5,,152.70999999999998,Autoencoder,[1112 1327 1151 1347 1142],0.2,52.6,10.0
191,30.4,Other Door,59.38,40.21,5,,144.58,Autoencoder,[1112 1327 1151 1347 1142],0.5,54.8,10.0
192,66.0,Key,49.4,56.51,5,,164.6,Autoencoder,[ 219  843  328 1073 1073],0.2,49.2,10.0
193,17.6,Key,41.51,24.72,5,,105.50999999999999,Autoencoder,[ 219  843  328 1073 1073],0.5,46.4,10.0
194,64.4,Orb,60.75,62.52,5,,186.55,Autoencoder,[ 589  584 1003 1346  585],0.2,61.4,10.0
195,34.8,Orb,67.44,45.91,5,,161.24,Autoencoder,[ 589  584 1003 1346  585],0.5,59.0,10.0
196,69.14,No Door,64.19,66.57,5,,198.62,Classifier,[169  87  16 175 177],0.2,65.29,10.0
197,31.14,No Door,70.32,43.17,5,,160.45999999999998,Classifier,[169  87  16 175 177],0.5,59.0,10.0
198,77.6,Level Door,69.78,73.48,5,,219.38,Classifier,[351 465 557 465 458],0.2,72.0,10.0
199,35.6,Level Door,76.72,48.63,5,,174.72,Classifier,[351 465 557 465 458],0.5,62.4,10.0
200,50.4,Green Door,69.23,58.33,5,,183.63000000000002,Classifier,[837 826 638 725 767],0.2,64.0,10.0
201,27.2,Green Door,77.27,40.24,5,,164.07,Classifier,[837 826 638 725 767],0.5,59.6,10.0
202,42.0,Key Door,55.56,47.84,5,,151.76,Classifier,[ 991  951 1011  936  928],0.2,54.2,10.0
203,22.8,Key Door,63.33,33.53,5,,140.93,Classifier,[ 991  951 1011  936  928],0.5,54.8,10.0
204,68.0,Other Door,61.59,64.64,5,,192.39,Classifier,[1139 1329 1307 1180 1131],0.2,62.8,10.0
205,30.8,Other Door,64.17,41.62,5,,151.77,Classifier,[1139 1329 1307 1180 1131],0.5,56.8,10.0
206,51.2,Key,57.92,54.35,5,,166.12,Classifier,[325 811 266 295 311],0.2,57.0,10.0
207,17.6,Key,72.13,28.3,5,,145.13,Classifier,[325 811 266 295 311],0.5,55.4,10.0
208,61.6,Orb,62.6,62.1,5,,186.6,Classifier,[750 195 754 580 186],0.2,62.4,10.0
209,18.4,Orb,66.67,28.84,5,,139.67000000000002,Classifier,[750 195 754 580 186],0.5,54.6,10.0
210,65.43,No Door,49.25,56.2,5,,163.68,Random,[ 76 109 314 274 219],0.2,49.0,10.0
211,13.14,No Door,54.12,21.15,5,,118.26,Random,[ 76 109 314 274 219],0.5,51.0,10.0
212,66.4,Level Door,51.55,58.04,5,,169.95,Random,[568 579 451 398 404],0.2,52.0,10.0
213,20.0,Level Door,54.35,29.24,5,,125.95,Random,[568 579 451 398 404],0.5,51.6,10.0
214,65.6,Green Door,50.93,57.34,5,,167.73,Random,[813 672 849 624 771],0.2,51.2,10.0
215,20.0,Green Door,52.63,28.99,5,,123.63,Random,[813 672 849 624 771],0.5,51.0,10.0
216,66.8,Key Door,51.86,58.39,5,,171.06,Random,[1059 1019  872  893 1080],0.2,52.4,10.0
217,18.0,Key Door,50.56,26.55,5,,118.76,Random,[1059 1019  872  893 1080],0.5,50.2,10.0
218,62.0,Other Door,50.32,55.55,5,,162.72,Random,[1293 1298 1275 1319 1121],0.2,50.4,10.0
219,20.8,Other Door,52.0,29.71,5,,123.6,Random,[1293 1298 1275 1319 1121],0.5,50.8,10.0
220,68.8,Key,49.43,57.53,5,,167.43,Random,[ 255 1060  290  841  819],0.2,49.2,10.0
221,18.4,Key,51.69,27.14,5,,120.69,Random,[ 255 1060  290  841  819],0.5,50.6,10.0
222,61.2,Orb,51.17,55.74,5,,163.76999999999998,Random,[ 582  751 1013  770 1040],0.2,51.4,10.0
223,22.0,Orb,55.56,31.52,5,,129.76,Random,[ 582  751 1013  770 1040],0.5,52.2,10.0
224,16.57,No Door,43.28,23.96,5,,107.28,Agent,[125 209 120 343 268],0.2,47.43,10.0
225,0.86,No Door,100.0,1.71,5,,151.29000000000002,Agent,[125 209 120 343 268],0.5,50.43,10.0
226,72.8,Level Door,84.65,78.28,5,,237.25,Agent,[477 420 374 592 571],0.2,79.8,10.0
227,37.6,Level Door,83.93,51.93,5,,186.73,Agent,[477 420 374 592 571],0.5,65.2,10.0
228,44.0,Green Door,72.37,54.73,5,,179.97,Agent,[755 773 716 671 831],0.2,63.6,10.0
229,0.0,Green Door,0.0,0.0,5,,0.0,Agent,[755 773 716 671 831],0.5,50.0,10.0
230,40.8,Key Door,74.45,52.71,5,,178.64999999999998,Agent,[1072  909 1071 1099 1063],0.2,63.4,10.0
231,10.8,Key Door,93.1,19.35,5,,158.9,Agent,[1072  909 1071 1099 1063],0.5,55.0,10.0
232,10.8,Other Door,60.0,18.31,5,,122.6,Agent,[1202 1306 1288 1226 1133],0.2,51.8,10.0
233,2.0,Other Door,100.0,3.92,5,,153.0,Agent,[1202 1306 1288 1226 1133],0.5,51.0,10.0
234,9.2,Key,48.94,15.49,5,,107.94,Agent,[823 339 802 341 800],0.2,49.8,10.0
235,1.2,Key,75.0,2.36,5,,126.60000000000001,Agent,[823 339 802 341 800],0.5,50.4,10.0
236,53.6,Orb,69.79,60.63,5,,188.59,Agent,[1009  754 1011 1010  757],0.2,65.2,10.0
237,23.2,Orb,89.23,36.83,5,,172.63,Agent,[1009  754 1011 1010  757],0.5,60.2,10.0
238,75.14,No Door,60.88,67.26,5,,199.45,Autoencoder,[344  63 246 210 198],0.2,63.43,10.0
239,39.71,No Door,64.95,49.29,5,,163.8,Autoencoder,[344  63 246 210 198],0.5,59.14,10.0
240,42.4,Level Door,49.07,45.49,5,,140.67000000000002,Autoencoder,[532 368 464 454 538],0.2,49.2,10.0
241,21.6,Level Door,52.43,30.6,5,,125.03,Autoencoder,[532 368 464 454 538],0.5,51.0,10.0
242,56.8,Green Door,52.21,54.41,5,,161.41,Autoencoder,[612 716 793 789 849],0.2,52.4,10.0
243,22.4,Green Door,60.22,32.65,5,,136.42,Autoencoder,[612 716 793 789 849],0.5,53.8,10.0
244,78.4,Key Door,57.82,66.56,5,,196.82,Autoencoder,[ 911 1055  906  890  862],0.2,60.6,10.0
245,55.6,Key Door,65.57,60.17,5,,184.36999999999998,Autoencoder,[ 911 1055  906  890  862],0.5,63.2,10.0
