,NumExp,CPR,Concept,F1Score,Pattern,Encoding,Pattern Complexity,Recall,Examples,TH,Accuracy,Precision
125,5,230.40000000000003,Orb,76.7,SVM,Agent,10,94.8,[ 194 1021  599 1035  181],0.0,71.2,64.4
126,5,189.53,Level Door,59.52,Double,Agent,10,50.0,[572 564 359 390 460],0.2,66.0,73.53
127,5,161.35,Level Door,21.28,Double,Agent,10,12.0,[572 564 359 390 460],0.5,55.6,93.75
128,5,193.9,Green Door,63.16,Double,Agent,10,57.6,[713 757 667 644 716],0.2,66.4,69.9
129,5,187.47,Green Door,52.34,Double,Agent,10,38.0,[713 757 667 644 716],0.5,65.4,84.07
130,5,125.0,Key Door,36.14,Double,Agent,10,29.2,[ 993  972 1001 1005 1027],0.2,48.4,47.4
131,5,106.85000000000001,Key Door,5.32,Double,Agent,10,2.8,[ 993  972 1001 1005 1027],0.5,50.2,53.85
132,5,181.25,Other Door,54.77,Double,Agent,10,43.6,[1122 1105 1301 1297 1320],0.2,64.0,73.65
133,5,156.51999999999998,Other Door,19.93,Double,Agent,10,11.2,[1122 1105 1301 1297 1320],0.5,55.0,90.32
134,5,129.19,Key,39.72,Double,Agent,10,34.4,[ 230 1059 1083  846  330],0.2,47.8,46.99
135,5,100.14,Key,17.14,Double,Agent,10,10.8,[ 230 1059 1083  846  330],0.5,47.8,41.54
136,5,172.77,Orb,54.92,Double,Agent,10,48.0,[1347 1337  782  559 1302],0.2,60.6,64.17
137,5,152.4,Orb,37.06,Double,Agent,10,25.2,[1347 1337  782  559 1302],0.5,57.2,70.0
138,5,255.73,Level Door,84.81,SVM,Agent,10,80.4,[404 394 375 576 366],0.0,85.6,89.73
139,5,205.42000000000002,Green Door,68.29,SVM,Agent,10,67.2,[628 726 626 839 701],0.0,68.8,69.42
140,5,175.04,Key Door,59.87,SVM,Agent,10,71.6,[1014  896 1001 1058 1085],0.0,52.0,51.44
141,5,162.94,Other Door,55.09,SVM,Agent,10,58.4,[1331 1153 1132 1311 1112],0.0,52.4,52.14
142,5,178.28,Key,58.19,SVM,Agent,10,54.0,[253 813 220 279 271],0.0,61.2,63.08
143,5,227.5,Orb,74.78,SVM,Agent,10,68.8,[ 153  153 1032 1000  570],0.0,76.8,81.9
