,Recall,Accuracy,Precision,Concept,CPR,NumExp,F1Score,Examples,Encoding,Pattern Complexity,TH,PC
218,48.4,65.6,73.78,Green Door,187.78,5,58.45,[679 761 730 749 683],External,,0.2,10.0
219,3.2,51.6,100.0,Green Door,154.79999999999998,5,6.2,[679 761 730 749 683],External,,0.5,10.0
220,12.0,53.4,69.77,Key Door,135.17,5,20.48,[1006  988 1090  865  884],External,,0.2,10.0
221,2.4,51.0,85.71,Key Door,139.10999999999999,5,4.67,[1006  988 1090  865  884],External,,0.5,10.0
222,16.0,53.4,63.49,Other Door,132.89,5,25.56,[1275 1237 1148 1315 1196],External,,0.2,10.0
223,1.6,50.0,50.0,Other Door,101.6,5,3.1,[1275 1237 1148 1315 1196],External,,0.5,10.0
224,16.4,52.2,57.75,Key,126.35,5,25.55,[1056  318  265  207 1072],External,,0.2,10.0
225,3.2,50.4,57.14,Key,110.74,5,6.06,[1056  318  265  207 1072],External,,0.5,10.0
226,23.2,56.2,68.24,Orb,147.64,5,34.63,[ 171  589 1307 1010 1314],External,,0.2,10.0
227,3.6,51.2,75.0,Orb,129.8,5,6.87,[ 171  589 1307 1010 1314],External,,0.5,10.0
228,54.8,68.6,75.69,Level Door,199.08999999999997,5,63.57,[585 536 580 527 398],Ext+Int,,0.2,10.0
229,18.8,56.8,78.33,Level Door,153.93,5,30.32,[585 536 580 527 398],Ext+Int,,0.5,10.0
230,55.6,66.2,70.56,Green Door,192.35999999999999,5,62.19,[707 690 847 748 622],Ext+Int,,0.2,10.0
231,36.0,62.0,75.0,Green Door,173.0,5,48.65,[707 690 847 748 622],Ext+Int,,0.5,10.0
232,33.6,55.6,60.0,Key Door,149.2,5,43.08,[926 983 910 918 962],Ext+Int,,0.2,10.0
233,9.2,53.8,85.19,Key Door,148.19,5,16.61,[926 983 910 918 962],Ext+Int,,0.5,10.0
234,26.4,45.2,42.31,Other Door,113.91,5,32.51,[1254 1129 1249 1276 1289],Ext+Int,,0.2,10.0
235,7.6,50.0,50.0,Other Door,107.6,5,13.19,[1254 1129 1249 1276 1289],Ext+Int,,0.5,10.0
236,14.8,48.2,44.58,Key,107.58,5,22.22,[806 269 279 837 831],Ext+Int,,0.2,10.0
237,2.4,51.2,100.0,Key,153.6,5,4.69,[806 269 279 837 831],Ext+Int,,0.5,10.0
238,57.6,65.8,68.9,Orb,192.29999999999998,5,62.75,[ 183  577  161  786 1029],Ext+Int,,0.2,10.0
239,26.8,60.0,79.76,Orb,166.56,5,40.12,[ 183  577  161  786 1029],Ext+Int,,0.5,10.0
240,57.2,71.2,79.44,Level Door,207.83999999999997,5,66.51,[492 593 355 538 438],Internal,,0.2,10.0
241,37.2,66.4,89.42,Level Door,193.01999999999998,5,52.54,[492 593 355 538 438],Internal,,0.5,10.0
242,64.4,64.0,63.89,Green Door,192.29000000000002,5,64.14,[661 703 743 721 707],Internal,,0.2,10.0
243,39.6,64.2,77.95,Green Door,181.75,5,52.52,[661 703 743 721 707],Internal,,0.5,10.0
244,40.8,58.2,62.58,Key Door,161.57999999999998,5,49.4,[ 924 1029  940  893  948],Internal,,0.2,10.0
245,20.4,56.6,73.91,Key Door,150.91,5,31.97,[ 924 1029  940  893  948],Internal,,0.5,10.0
246,30.4,54.0,57.58,Other Door,141.98,5,39.79,[1343 1127 1218 1328 1308],Internal,,0.2,10.0
247,5.2,52.6,100.0,Other Door,157.79999999999998,5,9.89,[1343 1127 1218 1328 1308],Internal,,0.5,10.0
248,23.2,46.6,43.61,Key,113.41000000000001,5,30.29,[276 838 203 308 220],Internal,,0.2,10.0
249,0.8,49.6,33.33,Key,83.73,5,1.56,[276 838 203 308 220],Internal,,0.5,10.0
250,60.4,60.6,60.64,Orb,181.64000000000001,5,60.52,[ 550  180  595 1031  790],Internal,,0.2,10.0
251,20.0,57.0,76.92,Orb,153.92000000000002,5,31.75,[ 550  180  595 1031  790],Internal,,0.5,10.0
252,50.4,67.8,77.3,Level Door,195.5,5,61.02,[542 532 448 420 539],External,,0.2,10.0
253,21.2,57.6,77.94,Level Door,156.73999999999998,5,33.33,[542 532 448 420 539],External,,0.5,10.0
254,8.8,52.0,64.71,Green Door,125.50999999999999,5,15.49,[801 834 689 715 846],External,,0.2,10.0
255,1.6,49.4,36.36,Green Door,87.35999999999999,5,3.07,[801 834 689 715 846],External,,0.5,10.0
256,23.2,49.0,47.93,Key Door,120.13000000000001,5,31.27,[ 966 1081 1004 1065  923],External,,0.2,10.0
257,4.4,50.6,57.89,Key Door,112.89000000000001,5,8.18,[ 966 1081 1004 1065  923],External,,0.5,10.0
258,18.4,57.0,80.7,Other Door,156.1,5,29.97,[1227 1164 1186 1150 1207],External,,0.2,10.0
259,7.6,53.8,100.0,Other Door,161.4,5,14.13,[1227 1164 1186 1150 1207],External,,0.5,10.0
260,8.0,48.4,41.67,Key,98.07,5,13.42,[1092  325  841  230  845],External,,0.2,10.0
261,3.6,50.0,50.0,Key,103.6,5,6.72,[1092  325  841  230  845],External,,0.5,10.0
262,21.2,54.8,64.63,Orb,140.63,5,31.93,[1033 1028  198 1007  578],External,,0.2,10.0
263,2.8,50.8,70.0,Orb,123.6,5,5.38,[1033 1028  198 1007  578],External,,0.5,10.0
264,55.6,72.2,83.23,Level Door,211.03,5,66.67,[582 548 432 388 548],Ext+Int,,0.2,10.0
265,12.4,56.2,100.0,Level Door,168.6,5,22.06,[582 548 432 388 548],Ext+Int,,0.5,10.0
266,62.4,71.0,75.36,Green Door,208.76000000000002,5,68.27,[711 701 742 640 631],Ext+Int,,0.2,10.0
267,23.6,60.2,88.06,Green Door,171.85999999999999,5,37.22,[711 701 742 640 631],Ext+Int,,0.5,10.0
268,35.2,51.6,52.38,Key Door,139.18,5,42.1,[ 867  852 1034 1001  864],Ext+Int,,0.2,10.0
269,6.8,46.4,32.69,Key Door,85.89,5,11.26,[ 867  852 1034 1001  864],Ext+Int,,0.5,10.0
270,26.4,51.2,52.38,Other Door,129.98000000000002,5,35.11,[1166 1179 1139 1242 1130],Ext+Int,,0.2,10.0
271,13.2,50.6,52.38,Other Door,116.18,5,21.09,[1166 1179 1139 1242 1130],Ext+Int,,0.5,10.0
272,13.6,52.8,62.96,Key,129.35999999999999,5,22.37,[207 306 252 210 250],Ext+Int,,0.2,10.0
273,1.2,49.4,33.33,Key,83.92999999999999,5,2.32,[207 306 252 210 250],Ext+Int,,0.5,10.0
274,51.6,65.6,71.67,Orb,188.86999999999998,5,60.0,[ 763  776 1341  571 1038],Ext+Int,,0.2,10.0
275,29.6,61.2,80.43,Orb,171.23,5,43.27,[ 763  776 1341  571 1038],Ext+Int,,0.5,10.0
276,40.0,69.2,96.15,Level Door,205.35000000000002,5,56.5,[384 538 401 565 442],Internal,,0.2,10.0
277,32.8,66.2,98.8,Level Door,197.8,5,49.25,[384 538 401 565 442],Internal,,0.5,10.0
278,50.0,58.4,60.1,Green Door,168.5,5,54.59,[813 668 647 600 750],Internal,,0.2,10.0
279,17.2,55.8,75.44,Green Door,148.44,5,28.01,[813 668 647 600 750],Internal,,0.5,10.0
280,19.2,41.8,35.04,Key Door,96.04,5,24.81,[1030 1016  974  851  930],Internal,,0.2,10.0
281,4.8,46.2,27.91,Key Door,78.91,5,8.19,[1030 1016  974  851  930],Internal,,0.5,10.0
282,56.4,74.6,88.68,Other Door,219.68,5,68.95,[1199 1169 1292 1107 1153],Internal,,0.2,10.0
283,42.8,69.8,93.04,Other Door,205.64,5,58.63,[1199 1169 1292 1107 1153],Internal,,0.5,10.0
284,41.2,58.0,62.05,Key,161.25,5,49.52,[224 331 269 309 345],Internal,,0.2,10.0
285,20.4,56.0,70.83,Key,147.23,5,31.68,[224 331 269 309 345],Internal,,0.5,10.0
286,54.8,57.2,57.56,Orb,169.56,5,56.15,[1301 1011  564  785  778],Internal,,0.2,10.0
287,22.8,58.2,78.08,Orb,159.08,5,35.29,[1301 1011  564  785  778],Internal,,0.5,10.0
288,58.8,75.4,88.02,Level Door,222.22000000000003,5,70.5,[434 350 581 358 499],External,,0.2,10.0
289,45.6,70.6,91.2,Level Door,207.4,5,60.8,[434 350 581 358 499],External,,0.5,10.0
290,28.0,55.8,63.06,Green Door,146.86,5,38.78,[664 797 606 838 778],External,,0.2,10.0
291,12.8,52.6,62.75,Green Door,128.15,5,21.26,[664 797 606 838 778],External,,0.5,10.0
292,18.4,54.2,64.79,Key Door,137.39000000000001,5,28.66,[1094  900 1022  871 1091],External,,0.2,10.0
293,2.0,50.2,55.56,Key Door,107.76,5,3.86,[1094  900 1022  871 1091],External,,0.5,10.0
294,25.6,61.8,92.75,Other Door,180.15,5,40.13,[1162 1213 1187 1345 1334],External,,0.2,10.0
295,16.0,58.0,100.0,Other Door,174.0,5,27.59,[1162 1213 1187 1345 1334],External,,0.5,10.0
296,20.0,50.8,52.08,Key,122.88,5,28.9,[1088  849  849 1067  259],External,,0.2,10.0
297,10.4,49.8,49.06,Key,109.26,5,17.16,[1088  849  849 1067  259],External,,0.5,10.0
298,16.0,54.4,68.97,Orb,139.37,5,25.97,[1304  172  562  165 1333],External,,0.2,10.0
299,2.8,51.4,100.0,Orb,154.20000000000002,5,5.45,[1304  172  562  165 1333],External,,0.5,10.0
300,60.8,76.2,87.86,Level Door,224.86,5,71.87,[422 351 523 388 438],Ext+Int,,0.2,10.0
301,41.6,69.6,94.55,Level Door,205.74999999999997,5,57.78,[422 351 523 388 438],Ext+Int,,0.5,10.0
302,47.6,63.4,69.59,Green Door,180.59,5,56.53,[624 826 703 699 842],Ext+Int,,0.2,10.0
303,7.6,51.8,65.52,Green Door,124.91999999999999,5,13.62,[624 826 703 699 842],Ext+Int,,0.5,10.0
304,32.4,49.8,49.69,Key Door,131.89,5,39.22,[1053  926  888  996 1026],Ext+Int,,0.2,10.0
305,4.4,51.2,68.75,Key Door,124.35000000000001,5,8.27,[1053  926  888  996 1026],Ext+Int,,0.5,10.0
306,12.4,50.2,50.82,Other Door,113.42000000000002,5,19.94,[1347 1255 1189 1284 1128],Ext+Int,,0.2,10.0
307,6.0,51.0,60.0,Other Door,117.0,5,10.91,[1347 1255 1189 1284 1128],Ext+Int,,0.5,10.0
308,14.0,53.0,63.64,Key,130.64,5,22.95,[816 841 322 212 206],Ext+Int,,0.2,10.0
309,2.0,50.2,55.56,Key,107.76,5,3.86,[816 841 322 212 206],Ext+Int,,0.5,10.0
310,60.8,66.6,68.78,Orb,196.18,5,64.54,[ 155  559  796 1300  773],Ext+Int,,0.2,10.0
311,20.8,58.6,85.25,Orb,164.65,5,33.44,[ 155  559  796 1300  773],Ext+Int,,0.5,10.0
312,51.6,71.6,86.0,Level Door,209.2,5,64.5,[430 463 483 408 511],Internal,,0.2,10.0
313,31.2,65.6,100.0,Level Door,196.79999999999998,5,47.56,[430 463 483 408 511],Internal,,0.5,10.0
314,38.8,59.0,65.1,Green Door,162.89999999999998,5,48.62,[806 803 650 610 721],Internal,,0.2,10.0
315,14.4,53.0,63.16,Green Door,130.56,5,23.45,[806 803 650 610 721],Internal,,0.5,10.0
316,34.0,58.8,67.46,Key Door,160.26,5,45.21,[1018  987 1088  977  973],Internal,,0.2,10.0
317,9.2,53.8,85.19,Key Door,148.19,5,16.61,[1018  987 1088  977  973],Internal,,0.5,10.0
318,56.8,75.8,91.61,Other Door,224.20999999999998,5,70.12,[1153 1177 1194 1139 1223],Internal,,0.2,10.0
319,32.4,65.8,97.59,Other Door,195.79,5,48.65,[1153 1177 1194 1139 1223],Internal,,0.5,10.0
320,12.8,50.2,50.79,Key,113.79,5,20.45,[1051  327 1074 1098  222],Internal,,0.2,10.0
321,4.0,48.2,34.48,Key,86.68,5,7.17,[1051  327 1074 1098  222],Internal,,0.5,10.0
322,70.4,72.6,73.64,Orb,216.64000000000001,5,71.98,[1303  162 1336 1324 1326],Internal,,0.2,10.0
323,31.6,60.4,74.53,Orb,166.53,5,44.38,[1303  162 1336 1324 1326],Internal,,0.5,10.0
324,49.6,68.0,78.48,Level Door,196.08,5,60.78,[588 526 426 428 484],External,,0.2,10.0
325,18.8,58.0,87.04,Level Door,163.84000000000003,5,30.92,[588 526 426 428 484],External,,0.5,10.0
326,32.0,58.4,67.8,Green Door,158.2,5,43.48,[787 608 753 746 786],External,,0.2,10.0
